chart_date,track_id,track_name,streams,position,release_date,album_id,artist_id,artist_name,genres,followers,chart_date_year,chart_date_month,chart_date_day,release_date_year,release_date_month,release_date_day,acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence,predicted_genre_id,predicted_genre,genre_probabilities,predicted_genre_proba
2017-01-01,2IMODbij0lZ5CuAjZi0IDE,Sila,70631,25,2015-07-31,0qwujayb77utSpftsXjdP3,0jKQrxK2zHqxyOAyIMrUQt,SUD,['opm'],652529,2017,1,1,2015,7,31,0.0104,0.635,326000,0.376,0.0,9,0.109,-6.1,1,63,0.0457,124.57,0.28,3,opm senti,"[0.19, 0.28, 0.12, 0.41]",0.41
2017-01-01,0YyM8aEdbjGfLWPn6fdcn7,Pasensya Ka Na,52955,40,2015-04-08,38jqi8VvSax4miNL2cacD1,4nGp682WMiKS4X217kPw8C,Silent Sanctuary,['opm'],3437545,2017,1,1,2015,4,8,0.519,0.696,241029,0.262,0.0,11,0.0669,-15.073,1,0,0.031,84.007,0.265,3,opm senti,"[0.18, 0.23, 0.18, 0.41]",0.41
2017-01-01,6NFKf8vBApSvtzkapYmnVR,Tadhana,48330,46,2012-12-07,4SjshYHT8OeSHB6zun2Hxx,3wbCeEPAW6po7J46netxMT,Up Dharma Down,['opm'],1044582,2017,1,1,2012,12,7,0.165,0.686,222446,0.322,0.0296,6,0.0809,-13.2,1,0,0.0369,155.982,0.511,3,opm senti,"[0.15, 0.24, 0.16, 0.45]",0.45
2017-01-01,6M21eWbEw74XDdoQsNIinq,Malaya (Camp Sawi Original Motion Picture Soundtrack),39075,50,2017-09-18,52xu8EP3ABmpNk0LUzF3ih,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,['opm'],9756117,2017,1,1,2017,9,18,0.852,0.374,254249,0.125,4.66e-06,7,0.321,-14.847,1,56,0.0383,114.694,0.108,3,opm senti,"[0.12, 0.03, 0.14, 0.71]",0.71
2017-01-01,3T8yMLawoliJaN1hAGFFmv,Sigurado,34520,55,2017-01-02,5bRwSxYckOjIw3oISF6MQk,3wbCeEPAW6po7J46netxMT,Up Dharma Down,['opm'],1044582,2017,1,1,2017,1,2,0.295,0.757,339661,0.669,0.0271,11,0.111,-8.813,1,28,0.0385,113.01,0.963,1,opm rap,"[0.3, 0.51, 0.12, 0.07]",0.51
2017-01-01,5QVuf1MpdzFtFoJGwcKosa,Stay - On the Wings of Love Teleserye Theme,31290,59,2016-02-17,0YOtu6QNH83HIjdWWI30qr,1vg8YXdgvLLPPeXZkM7g5W,Daryl Ong,['opm'],706598,2017,1,1,2016,2,17,0.841,0.562,262086,0.281,0.0,7,0.112,-8.813,1,13,0.0296,91.961,0.306,3,opm senti,"[0.03, 0.01, 0.08, 0.88]",0.88
2017-01-01,2XYb0tB6gqXObZqNsAoMYk,Paasa - T.A.N.G.A.,28239,63,2016-10-03,6jojHOgC3f8MNsBBW9ta4D,0DnjaQqb436AH1idffI6CQ,Yeng Constantino,['opm'],2798639,2017,1,1,2016,10,3,0.423,0.74,239226,0.604,1.75e-06,0,0.243,-5.245,0,2,0.103,140.065,0.323,1,opm rap,"[0.45, 0.47, 0.06, 0.02]",0.47
2017-01-01,01YEqVPCm0vqRLA9w43bic,Hanggang Kailan,26852,66,2016-08-19,2fI8PsKYLPMt9Gv4NVrtjk,1t2caVgyabZrVDAlmMGraV,Michael Pangilinan,['opm'],1674312,2017,1,1,2016,8,19,0.893,0.404,230453,0.174,0.0,9,0.0977,-10.192,1,13,0.0312,87.636,0.324,3,opm senti,"[0.07, 0.0, 0.21, 0.72]",0.72
2017-01-01,2PcbtMoqOlGSzOfyJlkB06,Your Love - Dolce Amore Teleserye Theme,24585,73,2016-01-01,6f5fch2BNaoKPL9E1oPmQI,4BNWanhw4AjSXjBm9L1Jzy,Juris,['opm'],790734,2017,1,1,2016,1,1,0.597,0.52,250803,0.309,0.0,2,0.102,-12.039,1,13,0.0534,150.098,0.177,3,opm senti,"[0.12, 0.16, 0.07, 0.65]",0.65
2017-01-01,6k3b9NQnivP9wUhA7PgbOU,To Love Again,23250,76,2016-09-27,5bKviOwxDPC7K25O9Ryxbq,1vg8YXdgvLLPPeXZkM7g5W,Daryl Ong,['opm'],706598,2017,1,1,2016,9,27,0.806,0.299,290680,0.36,0.0,9,0.114,-6.235,1,9,0.0287,140.102,0.19,3,opm senti,"[0.08, 0.02, 0.42, 0.48]",0.48
